index_x,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,collision_id,year_x,accelerator_defective,aggressive_driving/road_rage,alcohol_involvement,animals_action,backing_unsafely,brakes_defective,cell_phone_(hand-held),cell_phone_(hands-free),driver_inattention/distraction,driver_inexperience,driverless/runaway_vehicle,drugs_(illegal),eating_or_drinking,failure_to_keep_right,failure_to_yield_right-of-way,fatigued/drowsy,fell_asleep,following_too_closely,glare,headlights_defective,illness,lane_marking_improper/inadequate,listening/using_headphones,lost_consciousness,obstruction/debris,other_electronic_device,other_lighting_defects,other_vehicular,outside_car_distraction,oversized_vehicle,passenger_distraction,passing_too_closely,passing_or_lane_usage_improper,pavement_defective,pavement_slippery,pedestrian/bicyclist/other_pedestrian_error/confusion,physical_disability,prescription_medication,reaction_to_uninvolved_vehicle,shoulders_defective/improper,steering_failure,texting,tinted_windows,tire_failure/inadequate,tow_hitch_defective,traffic_control_device_improper/non-working,traffic_control_disregarded,turning_improperly,unsafe_lane_changing,unsafe_speed,using_on_board_navigation_device,vehicle_vandalism,view_obstructed/limited,windshield_inadequate,crash_datetime_x,unique_id,person_id,vehicle_id_x,person_age,person_sex,person_type_bicyclist,person_type_occupant,person_type_pedestrian,person_injured,index_y,vehicle_id_y,vehicle_type,vehicle_make,vehicle_model,vehicle_year,driver_sex,driver_license_status,driver_license_jurisdiction,pre_crash,point_of_impact,year_y,center_back_end,center_front_end,demolished,left_front_bumper,left_front_quarter_panel,left_rear_bumper,left_rear_quarter_panel,left_side_doors,no_damage,other,right_front_bumper,right_front_quarter_panel,right_rear_bumper,right_rear_quarter_panel,right_side_doors,crash_datetime_y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4461135,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-09-25 12:36:00,11964616,eb747dfa-c01e-4ddf-841d-9d020a8f7054,20071661.0,13,U,False,True,False,0,198964,a61e0531-535e-48d2-9167-84423c060a0a,station wagon,honda,,2021.0,M,Licensed,NY,Going Straight Ahead,Right Front Bumper,2012,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2012-09-25 12:36:00
38.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2867774,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-23 09:54:00,1402745,1,9621288.0,29,,False,True,False,1,3586,1,van,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-23 09:54:00
80.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,209782,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-10 18:00:00,1935841,1,,38,,False,False,True,1,10726,1,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-10 18:00:00
165.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2927139,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-11-13 10:30:00,1543346,1,10386543.0,41,,False,True,False,1,64818,1,unknown vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-11-13 10:30:00
217.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,214957,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-26 18:20:00,1953465,1,,62,,False,False,True,1,25285,1,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-26 18:20:00
252.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2921843,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-24 19:20:00,1529396,1,10317657.0,33,,False,True,False,1,110589,1,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-24 19:20:00
261.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,157097,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-28 16:36:00,1753385,1,11560914.0,11,,False,True,False,1,1091,3,scooter,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-28 16:36:00
287.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,229312,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-12 08:00:00,2009451,2,12956504.0,53,,False,True,False,1,49738,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-12 08:00:00
289.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12706,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-29 03:20:00,1277484,1,8570654.0,41,,False,True,False,1,108226,1,taxi,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-29 03:20:00
341.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,214891,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-20 14:40:00,1953452,2,12658746.0,38,,False,True,False,1,48446,2,pickup truck,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-20 14:40:00
377.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,100704,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-30 18:42:00,1543426,2,10387110.0,49,,False,True,False,1,22409,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-30 18:42:00
397.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,274375,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-12 05:20:00,2155414,2,13980799.0,59,,False,True,False,1,87934,2,taxi,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-12 05:20:00
418.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,27798,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-28 21:05:00,1312243,2,8882640.0,39,,False,True,False,1,10185,1,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-28 21:05:00
418.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,27798,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-28 21:05:00,1312245,4,8882640.0,7,,False,True,False,1,10185,1,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-28 21:05:00
431.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,265203,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-24 21:10:00,2117755,1,,36,,False,False,True,1,1595,1,unknown vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-24 21:10:00
435.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3033581,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-28 16:50:00,2028793,1,13083645.0,66,,False,True,False,1,28331,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-28 16:50:00
437.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,295706,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-19 11:00:00,2217411,1,14395530.0,73,,False,True,False,1,31972,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-19 11:00:00
450.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,110540,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-21 21:56:00,1582040,1,,33,,False,False,True,1,3468,1,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-21 21:56:00
545.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,103927,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-22 08:58:00,1557896,1,10465006.0,36,,True,False,False,1,117051,2,bicycle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-22 08:58:00
560.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,265223,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-28 13:16:00,2117760,2,13748186.0,9,,False,True,False,1,188091,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-28 13:16:00
578.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,280945,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-20 09:35:00,2172735,1,14086776.0,33,,False,True,False,1,42420,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-20 09:35:00
580.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,136675,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-25 09:45:00,1681998,2,11159091.0,10,,False,True,False,1,113358,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-25 09:45:00
609.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,173468,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-30 15:20:00,1817975,1,,39,,False,False,True,1,122667,1,station wagon,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-30 15:20:00
673.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,60311,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-15 17:37:00,1381155,2,9501964.0,11,,False,True,False,1,49641,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-15 17:37:00
694.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,180279,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2012-12-17 16:00:00,1834965,1,11969030.0,56,,False,True,False,1,51774,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-17 16:00:00
724.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,165471,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-26 18:45:00,1796618,1,,46,,False,False,True,1,83838,1,unknown vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-26 18:45:00
752.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,286505,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-16 04:40:00,2189463,1,14200921.0,32,,False,True,False,1,68987,1,station wagon,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-16 04:40:00
753.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22933,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-29 05:00:00,1301740,1,,22,,False,False,True,1,37864,1,taxi,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-29 05:00:00
757.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73580,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-21 08:52:00,1432617,1,9795057.0,24,,False,True,False,1,137526,2,passenger vehicle,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-21 08:52:00
762.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,136560,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-12-12 17:10:00,1681946,1,11158858.0,16,,False,True,False,1,39144,1,station wagon,alfa romeo,,,,,,,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-12 17:10:00
