CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2024-01-03,21:45,BRONX,10456.0,40.822487,-73.90827,"(40.822487, -73.90827)",,,854       EAGLE AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4697578,Sedan,,,,,2024
2024-01-03,20:39,BROOKLYN,11236.0,40.63874,-73.8952,"(40.63874, -73.8952)",ROCKAWAY PARKWAY,AVENUE L,,8.0,0.0,0,0,0,0,8,0,Brakes Defective,Driver Inattention/Distraction,Unspecified,,,4692680,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,2024
2024-01-03,12:31,,,,,,LINDEN PLACE,WHITESTONE EXPRESSWAY,,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4692513,Sedan,Sedan,,,,2024
2024-01-03,15:00,MANHATTAN,10010.0,40.737457,-73.97781,"(40.737457, -73.97781)",,,345       EAST 24 STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692606,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,10:55,QUEENS,11358.0,40.76213,-73.80375,"(40.76213, -73.80375)",162 STREET,NORTHERN BOULEVARD,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4692512,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,19:38,QUEENS,11416.0,40.6872,-73.84245,"(40.6872, -73.84245)",101 STREET,97 AVENUE,,1.0,0.0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4692870,Station Wagon/Sport Utility Vehicle,Motorcycle,,,,2024
2024-01-03,20:09,BROOKLYN,11214.0,40.607067,-74.00232,"(40.607067, -74.00232)",,,1815      86 STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692765,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,9:20,MANHATTAN,10016.0,40.746403,-73.97973,"(40.746403, -73.97973)",EAST 34 STREET,LEXINGTON AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4693094,Sedan,Sedan,,,,2024
2024-01-03,0:55,BROOKLYN,11238.0,40.67337,-73.96188,"(40.67337, -73.96188)",,,485       SAINT JOHNS PLACE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692127,Station Wagon/Sport Utility Vehicle,Ambulance,,,,2024
2024-01-03,22:50,,,40.73641,-73.92855,"(40.73641, -73.92855)",LONG ISLAND EXPRESSWAY,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692492,Flat Rack,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,16:30,QUEENS,11691.0,40.605244,-73.75508,"(40.605244, -73.75508)",,,21-41     MOTT AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692875,Sedan,,,,,2024
2024-01-03,14:12,MANHATTAN,10032.0,40.83427,-73.94537,"(40.83427, -73.94537)",WEST 157 STREET,MORGAN PLACE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4692659,Sedan,Bus,,,,2024
2024-01-03,9:10,MANHATTAN,10040.0,40.853714,-73.92681,"(40.853714, -73.92681)",AMSTERDAM AVENUE,WEST 190 STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4693102,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,12:45,QUEENS,11693.0,40.585983,-73.8166,"(40.585983, -73.8166)",ROCKAWAY BEACH BOULEVARD,BEACH 94 STREET,,2.0,0.0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,4693406,Ambulance,Sedan,,,,2024
2024-01-03,14:30,BROOKLYN,11238.0,40.672832,-73.96908,"(40.672832, -73.96908)",,,10        GRAND ARMY PLAZA,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4692831,Sedan,Moped,,,,2024
2024-01-03,0:01,QUEENS,11370.0,40.76661,-73.88644,"(40.76661, -73.88644)",83 STREET,23 AVENUE,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4692190,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,8:15,,,40.831707,-73.901886,"(40.831707, -73.901886)",EAST 169 STREET,FRANKLIN AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692560,Sedan,Sedan,,,,2024
2024-01-03,16:00,BROOKLYN,11217.0,40.688965,-73.977776,"(40.688965, -73.977776)",,,23        SAINT FELIX STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692703,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,17:19,,,40.67066,-73.957985,"(40.67066, -73.957985)",EASTERN PARKWAY,,,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4693229,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,7:49,QUEENS,11101.0,40.756508,-73.937164,"(40.756508, -73.937164)",,,23-12     38 AVENUE,0.0,0.0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,4692230,Bus,Sedan,,,,2024
2024-01-03,22:00,,,40.676895,-73.93593,"(40.676895, -73.93593)",TROY AVENUE,,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unsafe Speed,,,,4692907,Moped,Sedan,,,,2024
2024-01-03,20:10,BROOKLYN,11229.0,40.611477,-73.94883,"(40.611477, -73.94883)",AVENUE P,BEDFORD AVENUE,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4692430,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,19:00,,,,,,NEW ENGLAND THRUWAY,,,3.0,0.0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,4692613,Sedan,Box Truck,,,,2024
2024-01-03,17:58,QUEENS,11369.0,40.75866,-73.876465,"(40.75866, -73.876465)",92 STREET,32 AVENUE,,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4692399,Pick-up Truck,,,,,2024
2024-01-03,12:03,BROOKLYN,11231.0,40.683743,-73.99524,"(40.683743, -73.99524)",COURT STREET,DE GRAW STREET,,1.0,0.0,0,0,1,0,0,0,Following Too Closely,Unspecified,,,,4692314,Taxi,Bike,,,,2024
2024-01-03,15:00,QUEENS,11367.0,40.727985,-73.8315,"(40.727985, -73.8315)",,,134-22    JEWEL AVENUE,1.0,0.0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,4692393,Station Wagon/Sport Utility Vehicle,Motorcycle,,,,2024
2024-01-03,13:37,,,40.607864,-74.179184,"(40.607864, -74.179184)",SOUTH AVENUE,TELEPORT DRIVE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4692317,Sedan,,,,,2024
2024-01-03,11:20,BRONX,10453.0,40.858524,-73.90435,"(40.858524, -73.90435)",,,9         WEST 183 STREET,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4692777,Ambulance,Box Truck,,,,2024
2024-01-03,17:09,,,40.63082,-73.88636,"(40.63082, -73.88636)",ROCKAWAY PARKWAY,,,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4692423,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,6:49,QUEENS,11378.0,40.72936,-73.92856,"(40.72936, -73.92856)",LAUREL HILL BOULEVARD,56 ROAD,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4692249,Pick-up Truck,Sedan,,,,2024
2024-01-03,7:15,QUEENS,11378.0,40.726624,-73.906456,"(40.726624, -73.906456)",55 ROAD,BORDEN AVENUE,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692538,Bike,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,17:00,BRONX,10472.0,40.828197,-73.86939,"(40.828197, -73.86939)",,,1138      NOBLE AVENUE,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4692579,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,15:00,BROOKLYN,11213.0,40.669735,-73.93104,"(40.669735, -73.93104)",UTICA AVENUE,LINCOLN PLACE,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692867,Sedan,Van,,,,2024
2024-01-03,22:16,MANHATTAN,10027.0,40.81339,-73.95627,"(40.81339, -73.95627)",AMSTERDAM AVENUE,WEST 125 STREET,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4692880,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,20:44,BROOKLYN,11233.0,40.676342,-73.910934,"(40.676342, -73.910934)",ROCKAWAY AVENUE,ATLANTIC AVENUE,,1.0,0.0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,,,,4692693,Bike,Sedan,,,,2024
2024-01-03,14:33,BRONX,10468.0,40.86135,-73.89774,"(40.86135, -73.89774)",GRAND CONCOURSE,EAST 188 STREET,,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Following Too Closely,,,,4692640,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,8:47,BROOKLYN,11207.0,40.66841,-73.90167,"(40.66841, -73.90167)",SUTTER AVENUE,VAN SIDERIN AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4692280,Sedan,Sedan,,,,2024
2024-01-03,3:00,QUEENS,11360.0,40.774647,-73.78401,"(40.774647, -73.78401)",CLEARVIEW EXPRESSWAY,27 AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692409,Sedan,,,,,2024
2024-01-03,17:54,BROOKLYN,11204.0,40.62202,-73.98726,"(40.62202, -73.98726)",60 STREET,18 AVENUE,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4692501,E-Scooter,,,,,2024
2024-01-03,15:35,,,40.676094,-73.94992,"(40.676094, -73.94992)",BERGEN STREET,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4692629,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,20:33,QUEENS,11102.0,40.77191,-73.93022,"(40.77191, -73.93022)",12 STREET,29 AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4692972,Sedan,,,,,2024
2024-01-03,17:40,,,40.62438,-74.13936,"(40.62438, -74.13936)",,,1525      FOREST AVENUE,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4692431,Sedan,,,,,2024
2024-01-03,7:51,STATEN ISLAND,10306.0,40.55695,-74.138855,"(40.55695, -74.138855)",AMBOY ROAD,BAY TERRACE,,3.0,0.0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,4692351,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,11:23,BROOKLYN,11212.0,40.65864,-73.91374,"(40.65864, -73.91374)",NEWPORT STREET,STRAUSS STREET,,2.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4692899,E-Bike,Sedan,,,,2024
2024-01-03,8:31,,,40.79653,-73.97597,"(40.79653, -73.97597)",HENRY HUDSON PARKWAY,,,2.0,0.0,0,0,0,0,2,0,Following Too Closely,Following Too Closely,Reaction to Uninvolved Vehicle,Unspecified,,4693332,Pick-up Truck,Sedan,Sedan,Sedan,,2024
2024-01-03,22:38,,,40.592484,-73.99494,"(40.592484, -73.99494)",BELT PARKWAY,,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4692771,Sedan,Sedan,,,,2024
2024-01-03,10:15,QUEENS,11361.0,40.760284,-73.769356,"(40.760284, -73.769356)",NORTHERN BOULEVARD,BELL BOULEVARD,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4692487,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,19:35,,,40.73182,-73.868904,"(40.73182, -73.868904)",SAUNDERS STREET,,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4692803,,,,,,2024
2024-01-03,7:00,BROOKLYN,11228.0,40.6258,-74.00889,"(40.6258, -74.00889)",70 STREET,11 AVENUE,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4692451,Sedan,Bike,,,,2024
2024-01-03,16:00,,,40.640236,-74.1359,"(40.640236, -74.1359)",,,2190      RICHMOND TERRACE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692725,Sedan,Sedan,,,,2024
2024-01-03,20:00,BRONX,10469.0,40.861675,-73.84731,"(40.861675, -73.84731)",,,2433      FISH AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4692591,Station Wagon/Sport Utility Vehicle,Sedan,,,,2024
2024-01-03,17:46,,,40.865128,-73.838875,"(40.865128, -73.838875)",ALLERTON AVENUE,,,2.0,0.0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4692592,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,18:30,BROOKLYN,11230.0,40.629986,-73.97157,"(40.629986, -73.97157)",OCEAN PARKWAY,FOSTER AVENUE,,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4692550,Sedan,,,,,2024
2024-01-03,4:45,QUEENS,11101.0,40.749733,-73.936104,"(40.749733, -73.936104)",NORTHERN BOULEVARD,41 AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692161,Sedan,Taxi,,,,2024
2024-01-03,15:30,STATEN ISLAND,10312.0,40.553085,-74.19174,"(40.553085, -74.19174)",,,244       ARDEN AVENUE,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4692466,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,8:24,BROOKLYN,11236.0,40.642673,-73.90869,"(40.642673, -73.90869)",REMSEN AVENUE,BAY VIEW PLACE,,1.0,0.0,0,0,0,0,1,0,Turning Improperly,Cell Phone (hand-Held),,,,4692707,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,17:07,QUEENS,11435.0,40.69697,-73.80556,"(40.69697, -73.80556)",,,97-11     SUTPHIN BOULEVARD,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692745,Bike,,,,,2024
2024-01-03,3:00,QUEENS,11355.0,40.743317,-73.81564,"(40.743317, -73.81564)",BOOTH MEMORIAL AVENUE,153 STREET,,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4692196,Sedan,Sedan,,,,2024
2024-01-03,15:40,QUEENS,11373.0,40.73356,-73.88382,"(40.73356, -73.88382)",GRAND AVENUE,84 STREET,,1.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4692488,Sedan,E-Scooter,,,,2024
2024-01-03,11:50,,,40.69593,-73.96548,"(40.69593, -73.96548)",PARK AVENUE,RYERSON STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4692702,Sedan,Sedan,,,,2024
2024-01-03,22:00,,,40.570835,-74.16983,"(40.570835, -74.16983)",FOREST HILL ROAD,RICHMOND AVENUE,,1.0,0.0,0,0,0,0,0,0,Driver Inexperience,Driver Inattention/Distraction,,,,4692724,Sedan,E-Scooter,,,,2024
2024-01-03,11:30,MANHATTAN,10009.0,40.729797,-73.97481,"(40.729797, -73.97481)",AVENUE C,EAST 16 STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4692347,Sedan,Sedan,,,,2024
2024-01-03,8:50,,,40.725346,-73.77139,"(40.725346, -73.77139)",GRAND CENTRAL PKWY,,,0.0,0.0,0,0,0,0,0,0,Pavement Slippery,Unspecified,Unspecified,,,4692394,Sedan,Sedan,Sedan,,,2024
2024-01-03,10:15,QUEENS,11372.0,40.748123,-73.87929,"(40.748123, -73.87929)",ROOSEVELT AVENUE,87 STREET,,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4692648,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,6:10,,,40.734566,-73.72269,"(40.734566, -73.72269)",CROSS ISLAND PARKWAY,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4692461,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,6:55,,,40.60595,-74.07601,"(40.60595, -74.07601)",STATEN ISLAND EXPRESSWAY,,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,4692302,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,2024
2024-01-03,0:30,BRONX,10454.0,40.800896,-73.91552,"(40.800896, -73.91552)",,,720       EAST 132 STREET,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692605,Station Wagon/Sport Utility Vehicle,Garbage or Refuse,,,,2024
2024-01-03,7:03,BRONX,10461.0,40.85142,-73.8273,"(40.85142, -73.8273)",,,3639      BRUCKNER BOULEVARD,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692653,Pick-up Truck,,,,,2024
2024-01-03,5:52,BRONX,10460.0,40.839596,-73.86957,"(40.839596, -73.86957)",ADAMS STREET,EAST TREMONT AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,,,,4692377,Sedan,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,14:43,QUEENS,11414.0,40.660847,-73.8403,"(40.660847, -73.8403)",158 AVENUE,CROSS BAY BOULEVARD,,2.0,0.0,0,0,0,0,2,0,Passing or Lane Usage Improper,Unspecified,,,,4692500,Sedan,Box Truck,,,,2024
2024-01-03,17:17,STATEN ISLAND,10306.0,40.572895,-74.137215,"(40.572895, -74.137215)",,,3487      RICHMOND ROAD,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4692455,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,0:00,BROOKLYN,11236.0,40.633606,-73.91623,"(40.633606, -73.91623)",FLATLANDS AVENUE,EAST 76 STREET,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4693204,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,11:45,,,40.631275,-73.97606,"(40.631275, -73.97606)",18 AVENUE,SETON PLACE,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4693101,Sedan,,,,,2024
2024-01-03,9:10,QUEENS,11385.0,40.704403,-73.89392,"(40.704403, -73.89392)",CATALPA AVENUE,64 STREET,,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4692229,FIRETRUCK,Sedan,,,,2024
2024-01-03,15:13,,,40.64609,-73.89691,"(40.64609, -73.89691)",FLATLANDS AVENUE,,,1.0,0.0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,4692424,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
